"5087","# sent = 486","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# #","","","","","","","","","","","","","","","",""
"5088","# doc = CTF2.txt","","","","","","","","","","","","","","","",""
"5089","# speaker = A","","","","","","","","","","","","","","","",""
"5090","# sent = 487","","","","","","","","","","","","","","","",""
"5091","","ммм","МММ","INTJ","","","_ммм_ ...","м","м","м","","","","S","МММ","S n inan loc sg","М"
"5092","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5093","","","","","","","","","","","","","","","","",""
"5094","# sent = 488","","","","","","","","","","","","","","","",""
"5095","","Большинство","БОЛЬШИНСТВО","S n inan nom sg","","","... _Большинство_ цэтээфов","о","в","т","с","н","и","S","БОЛЬШИНСТВО","S n inan nom sg","О"
"5096","<distinct form=""","","","","","","","","","","","","","","","",""
"5097","<dist>","цэтээфов","","","","","","","","","","","","","","",""
"5098",""">","","","","","","","","","","","","","","","",""
"5099","","CTF","CTF","NONLEX","","","цэтээфов _CTF_ , которые","f","t","c","","","","NONLEX","CTF","NONLEX","F"
"5100","</distinct>","","","","","","","","","","","","","","","",""
"5101","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5102","","которые","КОТОРЫЙ","APRO - acc pl plen - inan","","","CTF , _которые_ я писал ,","е","ы","р","о","т","о","APRO","КОТОРЫЙ","A - acc pl plen - inan","Й"
"5103","","я","Я","SPRO sg 1p - nom","","",", которые _я_ писал , эм","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"5104","","писал","ПИСАТЬ","V ipf praet sg indic m -","","",", которые я _писал_ , эм ...","л","а","с","и","п","","V","ПИСАТЬ","V ipf praet sg indic m -","Ь"
"5105","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5106","","эм","ЭМ","INTJ","","","я писал , _эм_ ... как ни","м","э","","","","","INTJ","ЭМ","INTJ","М"
"5107","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5108","","как","КАК","CONJ","","",", эм ... _как_ ни странно ,","к","а","к","","","","CONJ","КАК","CONJ","К"
"5109","","ни","НИ","PART","","","эм ... как _ни_ странно , они","и","н","","","","","PART","НИ","PART","И"
"5110","","странно","СТРАННО","ADV -","","","... как ни _странно_ , они были","о","н","н","а","р","т","A","СТРАННЫЙ","A - - sg brev n -","О"
"5111","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5112","","они","ОНИ","SPRO pl - - nom","","","ни странно , _они_ были командными ,","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom","И"
"5113","","были","БЫТЬ","V ipf praet pl indic - -","","","странно , они _были_ командными , но","и","л","ы","б","","","V","БЫТЬ","V ipf praet pl indic - -","Ь"
"5114","","командными","КОМАНДНЫЙ","A - ins pl plen - -","","",", они были _командными_ , но писал","и","м","ы","н","д","н","A","КОМАНДНЫЙ","A - ins pl plen - -","Й"
"5115","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5116","","но","НО","CONJ","","","были командными , _но_ писал я их","о","н","","","","","CONJ","НО","CONJ","О"
"5117","","писал","ПИСАТЬ","V ipf praet sg indic m -","","","командными , но _писал_ я их сам","л","а","с","и","п","","V","ПИСАТЬ","V ipf praet sg indic m -","Ь"
"5118","","я","Я","SPRO sg 1p - nom","","",", но писал _я_ их сам ,","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"5119","","их","ОНИ","SPRO pl - - acc","","","но писал я _их_ сам , потому что","х","и","","","","","SPRO","ОНИ","SPRO pl - - acc","И"
"5120","","сам","САМ","APRO nom sg plen m","","","писал я их _сам_ , потому что ,","м","а","с","","","","A","САМ","A - nom sg plen m -","М"
"5121","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
